state_index,state_word,next_state_index
0,0000000,1
1,0000001,2
2,0000010,3
3,0000100,4
4,0001000,5
5,0010000,6
6,0100000,7
7,1000001,8
8,0000011,9
9,0000110,10
10,0001100,11
11,0011000,12
12,0110000,13
13,1100001,14
14,1000010,15
15,0000101,16
16,0001010,17
17,0010100,18
18,0101000,19
19,1010000,20
20,0100001,21
21,1000011,22
22,0000111,23
23,0001110,24
24,0011100,25
25,0111000,26
26,1110001,27
27,1100010,28
28,1000100,29
29,0001001,30
30,0010010,31
31,0100100,32
32,1001000,33
33,0010001,34
34,0100010,35
35,1000101,36
36,0001011,37
37,0010110,38
38,0101100,39
39,1011000,40
40,0110001,41
41,1100011,42
42,1000110,43
43,0001101,44
44,0011010,45
45,0110100,46
46,1101000,47
47,1010001,48
48,0100011,49
49,1000111,50
50,0001111,51
51,0011110,52
52,0111100,53
53,1111001,54
54,1110010,55
55,1100100,56
56,1001001,57
57,0010011,58
58,0100110,59
59,1001100,60
60,0011001,61
61,0110010,62
62,1100101,63
63,1001010,64
64,0010101,65
65,0101010,66
66,1010100,67
67,0101001,68
68,1010010,69
69,0100101,70
70,1001011,71
71,0010111,72
72,0101110,73
73,1011100,74
74,0111001,75
75,1110011,76
76,1100110,77
77,1001101,78
78,0011011,79
79,0110110,80
80,1101100,81
81,1011001,82
82,0110011,83
83,1100111,84
84,1001110,85
85,0011101,86
86,0111010,87
87,1110100,88
88,1101001,89
89,1010011,90
90,0100111,91
91,1001111,92
92,0011111,93
93,0111110,94
94,1111101,95
95,1111010,96
96,1110101,97
97,1101010,98
98,1010101,99
99,0101011,100
100,1010110,101
101,0101101,102
102,1011010,103
103,0110101,104
104,1101011,105
105,1010111,106
106,0101111,107
107,1011110,108
108,0111101,109
109,1111011,110
110,1110110,111
111,1101101,112
112,1011011,113
113,0110111,114
114,1101110,115
115,1011101,116
116,0111011,117
117,1110111,118
118,1101111,119
119,1011111,120
120,0111111,121
121,1111111,122
122,1111110,123
123,1111100,124
124,1111000,125
125,1110000,126
126,1100000,127
127,1000000,0
